p,base_history_pL,rotation_gadget_pL,cnot_participant_pL
0.0,0.05371999999999999,0.10359221546666664,0.10359221546666664
0.001,0.053776666666666695,0.10369742682962968,0.10369742682962968
0.002,0.05406,0.10422335519999981,0.10422335519999981
0.005,0.055976666666666675,0.10777548371851853,0.10777548371851853
0.01,0.06015000000000004,0.1154759700000001,0.1154759700000001
0.02,0.0660533333333333,0.12628927620740749,0.12628927620740749
0.05,0.09606999999999999,0.1798340734666667,0.1798340734666667
