physical_p,logical_p,expected_physical_faults,expected_logical_faults,unprotected_accuracy_mean,unprotected_accuracy_std,protected_accuracy_mean,protected_accuracy_std,unprotected_macro_f1_mean,protected_macro_f1_mean
0.0,0.0,0.0,0.0,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.9146426842076639,0.9146426842076639
0.001,2.998e-06,0.16,0.00047968,0.9129399999999999,0.0002880972058177828,0.9143000000000001,1.2412670766236366e-16,0.9134468548399294,0.91464236187102
0.002,1.1984e-05,0.32,0.00191744,0.9106400000000001,0.0011760102040373566,0.91432,0.00010954451150102117,0.9113685554925507,0.9146636351765253
0.005,7.475e-05,0.8,0.01196,0.8887,0.00040620192023180793,0.9143399999999999,0.00015165750888101431,0.8903843006335382,0.914690453570203
0.01,0.00029800000000000003,1.6,0.04768000000000001,0.70746,0.0023458473948660776,0.9141400000000001,0.0005594640292279874,0.695082060532312,0.9145354431387762
0.02,0.0011840000000000002,3.2,0.18944000000000003,0.37566,0.0025045957757690272,0.9127000000000001,0.0006204836822995326,0.31785324365132817,0.9132425522746006
0.05,0.007250000000000001,8.0,1.1600000000000001,0.19746000000000002,0.004090598978144885,0.82528,0.002418057071286767,0.13362370150388866,0.8257489525368766
