physical_depolarizing_p,logical_error_probability,logical_X_probability,logical_Y_probability,logical_Z_probability,unprotected_accuracy_mean,unprotected_accuracy_std,five_qubit_accuracy_mean,five_qubit_accuracy_std,unprotected_macro_f1,five_qubit_macro_f1
0.0,0.0,0.0,0.0,0.0,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.9146426842076639,0.9146426842076639
0.001,9.977795550786261e-06,3.325931850271616e-06,3.3259318502716163e-06,3.3259318502716163e-06,0.91334,0.0004827007354459084,0.91428,4.472135954999087e-05,0.9138598481515384,0.9146233603914379
0.002,3.9822506515019285e-05,1.327416883832087e-05,1.3274168838320873e-05,1.3274168838320871e-05,0.91166,0.00048785243670601737,0.91424,0.00015165750888101431,0.912342801842008,0.9145908536723912
0.005,0.0002472333185183917,8.24111061728402e-05,8.241110617284021e-05,8.241110617284022e-05,0.89742,0.0010377861051295522,0.9141,0.0006324555320336589,0.8990776282647163,0.9144873672243868
0.01,0.000977955081481463,0.0003259850271604922,0.0003259850271604921,0.00032598502716049216,0.7474,0.0045645372164108714,0.9129799999999999,0.0005215361924162482,0.7473763406715636,0.9134853680188477
0.02,0.0038250514962961946,0.0012750171654320945,0.0012750171654320945,0.0012750171654320945,0.34426,0.004938420800215387,0.90642,0.0009176055797563817,0.29749422733136643,0.907605701515309
0.05,0.022331851851851825,0.00744395061728397,0.007443950617283969,0.007443950617283969,0.13188,0.0027389779115575253,0.29188000000000003,0.002903790626061048,0.08344468234884218,0.23997622658098305
