p_data,p_cnot,p_measurement,p_recovery,effective_qec1_error,effective_qec3_error,estimated_qec1_accuracy,estimated_qec3_accuracy,qec3_minus_qec1_accuracy,qec1_minus_qec3_logical_error
0.005,0.0,0.0,0.005,8.199999865610152e-05,7.599999662488699e-05,0.9142016000016127,0.9142088000040501,7.200002437479647e-06,6.000002031214535e-06
0.005,0.001,0.0,0.005,0.0011139999842271209,0.0010979999788105488,0.9129689000181388,0.9129873000243679,1.8400006229102317e-05,1.6000005416572094e-05
0.005,0.002,0.0,0.005,0.0021879998967051506,0.002251999918371439,0.9111698004286737,0.9109042003387585,-0.0002656000899151634,-6.400002166628838e-05
0.005,0.005,0.0,0.005,0.005330000072717667,0.005822000093758106,0.8825664981856942,0.8702910976607353,-0.012275400524958902,-0.0004920000210404396
0.005,0.01,0.0,0.005,0.010817999951541424,0.013749999925494194,0.6725070821292699,0.5528500027269125,-0.11965707940235737,-0.0029319999739527702
0.005,0.02,0.0,0.005,0.021973999217152596,0.03275400027632713,0.34260525310486556,0.24605191875100135,-0.0965533343538642,-0.010780001059174538
0.005,0.0,0.005,0.005,0.00019799999427050352,6.800000119255856e-05,0.9140624000068754,0.9142183999985689,0.00015599999169346734,0.00012999999307794496
0.005,0.001,0.005,0.005,0.0012080000014975667,0.0011360000353306532,0.9128607999982778,0.9129435999593698,8.279996109195054e-05,7.199996616691351e-05
0.005,0.002,0.005,0.005,0.0021559998858720064,0.0023580000270158052,0.9113026004736312,0.9104642998878845,-0.0008383005857467429,-0.00020200014114379883
0.005,0.005,0.005,0.005,0.005365999881178141,0.006289999932050705,0.8816683029646054,0.8573240019977093,-0.024344300966896104,-0.0009240000508725643
0.005,0.01,0.005,0.005,0.011133999563753605,0.014378000050783157,0.6586220591686667,0.5298651981413365,-0.1287568610273302,-0.0032440004870295525
0.005,0.02,0.005,0.005,0.022665999829769135,0.03351400047540665,0.331874401974678,0.24261671785116196,-0.08925768412351603,-0.010848000645637512
0.005,0.0,0.01,0.005,0.0003100000030826777,8.199999865610152e-05,0.9139279999963008,0.9142016000016127,0.00027360000531184703,0.0002280000044265762
0.005,0.001,0.01,0.005,0.001307999948039651,0.0011680000461637974,0.9127458000597545,0.9129067999469117,0.00016099988715723157,0.00013999990187585354
0.005,0.002,0.01,0.005,0.002369999885559082,0.0023419999051839113,0.9104145004749298,0.9105307003934868,0.00011619991855704725,2.7999980375170708e-05
0.005,0.005,0.01,0.005,0.005793999880552292,0.0065460000187158585,0.8709897029802204,0.8497975994497537,-0.021192103530466633,-0.0007520001381635666
