p,ideal_logical_error,previous_flagged_logical_error,majority3_logical_error,history3_logical_error,history_coset_prediction_accuracy,temporal_syndrome_change_rate,three_round_flag_cycle_rate,unprotected_accuracy_mean,unprotected_accuracy_std,ideal_code_accuracy_mean,ideal_code_accuracy_std,previous_flagged_accuracy_mean,previous_flagged_accuracy_std,majority3_accuracy_mean,majority3_accuracy_std,history3_accuracy_mean,history3_accuracy_std
0.0,0.0,0.013273999999999897,0.07679666666666662,0.05371999999999999,0.8796233534812927,0.36190667748451233,0.22508665919303894,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.59446,0.003860440389385655,0.122,0.004137632173115442,0.1273,0.0021272047386182605
0.001,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.053776666666666695,0.8796966671943665,0.36088332533836365,0.22437000274658203,0.9132199999999999,0.0004266145801540385,0.91428,0.00010954451150102115,0.5437800000000002,0.0034737587711296137,0.11872,0.003409838705862787,0.12564,0.002998833106393221
0.002,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.9114800000000001,0.0007085195833567429,0.91426,0.00011401754250990124,0.54768,0.0033811240734406564,0.11976,0.0013049904214207874,0.12725999999999998,0.0036128935771760503
0.005,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.89588,0.0024035390573069644,0.91402,0.00031144823004796075,0.45808,0.003577988261579397,0.11910000000000001,0.0014282856857085681,0.12648,0.0018873261509341724
0.01,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.74832,0.0019070920271449835,0.91334,0.0004335896677736051,0.34978,0.003662239751845859,0.11854,0.0012177848742696722,0.12416,0.002312574323129959
0.02,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.0660533333333333,0.8673466444015503,0.36143332719802856,0.22393333911895752,0.3419,0.0038039453203220367,0.9064,0.0013509256086106287,0.22000000000000003,0.0022594247055389917,0.11825999999999999,0.0014638989036132258,0.12128000000000001,0.001814386948806675
0.05,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.09606999999999999,0.8387666940689087,0.36078333854675293,0.2241833359003067,0.12988,0.0016619265928433798,0.29424,0.0024602845363900475,0.12584,0.0011907980517283365,0.11946000000000001,0.0015009996668887068,0.11864,0.002864087987475246
