p_data,p_syndrome,effective_error_unprotected,effective_error_qec1,effective_error_qec3,unprotected_accuracy_mean,unprotected_accuracy_std,qec1_accuracy_mean,qec1_accuracy_std,qec3_accuracy_mean,qec3_accuracy_std
0.0,0.01,0.0,0.0,0.0,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16
0.001,0.01,0.001,6.600000051548705e-05,3.999999989900971e-06,0.9129399999999999,0.0002880972058177828,0.9143799999999999,0.00019235384061669226,0.91426,5.477225575051058e-05
0.002,0.01,0.002,9.7999996796716e-05,1.9999999494757503e-05,0.9106400000000001,0.0011760102040373566,0.91442,0.00028635642126549556,0.91432,4.472135954999087e-05
0.005,0.01,0.005,0.00027799999224953353,8.399999933317304e-05,0.8887,0.00040620192023180793,0.91424,0.0002880972058177269,0.9143600000000001,0.00016733200530679669
0.01,0.01,0.01,0.0006440000142902136,0.00033599999733269215,0.70746,0.0023458473948660776,0.9139000000000002,0.000612372435695786,0.9140599999999999,0.0004615192303685716
0.02,0.01,0.02,0.0019399999873712659,0.001297999988310039,0.37566,0.0025045957757690272,0.9114599999999999,0.0008080841540334751,0.91224,0.000630872411823472
0.05,0.01,0.05,0.009088000282645226,0.007431999780237675,0.19746000000000002,0.004090598978144885,0.7553799999999999,0.0026357162214471924,0.8222999999999999,0.0014230249470757797
