epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,2.159196570332845,1.8825408706665039,0.3212,0.4824
2,1.3907865570704143,1.079290851020813,0.7446222222222222,0.887
3,0.7442006147702535,0.7166372575759887,0.9456222222222223,0.9006
4,0.5196624848683675,0.640776744556427,0.9662444444444445,0.909
5,0.4678762416627672,0.6234673696517944,0.9723333333333334,0.9108
6,0.4494521060625712,0.6135735696792602,0.9753777777777778,0.9162
7,0.43858558325237695,0.6084871955871582,0.9772444444444445,0.9164
8,0.43213801400926377,0.6042399839401245,0.9788222222222223,0.9192
9,0.4278380429638757,0.6017186005592347,0.9795555555555555,0.9194
10,0.42511889598634506,0.5989971367835999,0.9802,0.9198
11,0.42312283482551577,0.5979866058349609,0.9803333333333333,0.9192
12,0.4217310694747501,0.597132792377472,0.9811333333333333,0.9194
13,0.4210884121523963,0.5965758228302002,0.9811333333333333,0.9194
14,0.42004023299217225,0.5962651956558227,0.9813333333333333,0.9192
