p,base_protected_pL,rotation_gadget_pL,cnot_participant_pL,expected_nonidentity_logical_events
0.0,0.013273999999999897,0.02631306789866661,0.02631306789866661,4.210090863786657
0.001,0.014274000000000009,0.02827633723199985,0.02827633723199985,4.524213957119976
0.002,0.014294000000000029,0.028315575418666805,0.028315575418666805,4.530492066986689
0.005,0.016382000000000008,0.03240617343466656,0.03240617343466656,5.18498774954665
0.01,0.019847999999999977,0.0391707425279999,0.0391707425279999,6.267318804479984
0.02,0.027324000000000015,0.053652532032000155,0.053652532032000155,8.584405125120025
0.05,0.056772000000000045,0.10924658668800002,0.10924658668800002,17.479453870080004
