p,seed,ideal_logical_error,previous_flagged_logical_error,majority3_logical_error,history3_logical_error,history_coset_prediction_accuracy,temporal_syndrome_change_rate,three_round_flag_cycle_rate,unprotected_accuracy,ideal_code_accuracy,previous_flagged_accuracy,majority3_accuracy,history3_accuracy,unprotected_f1,ideal_code_f1,previous_flagged_f1,majority3_f1,history3_f1
0.002,20042,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.9121,0.9141,0.545,0.1204,0.1242,0.912817843781428,0.9144492490698763,0.5242296723722674,0.07127615362042676,0.07381928811089224
0.002,20043,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.911,0.9143,0.5498,0.1207,0.1319,0.911722976288797,0.9146480727032198,0.5321629274015838,0.071314553283744,0.08382925874301575
0.002,20044,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.9105,0.9143,0.5432,0.1175,0.1245,0.9111894256500875,0.9146634254522381,0.5222698611228092,0.07099062110558926,0.07767428359688813
0.002,20045,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.9121,0.9144,0.5494,0.1198,0.1304,0.9128590462221162,0.9147522469956982,0.5285518323061805,0.07122728418891949,0.08215169695679075
0.002,20046,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.05406,0.8784633278846741,0.360483318567276,0.2241266667842865,0.9117,0.9142,0.551,0.1204,0.1253,0.9123247487026583,0.9145420409520352,0.5301425276198202,0.07248303983510831,0.07572594462400117
0.005,30042,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.8956,0.9142,0.4604,0.1186,0.1255,0.8972605471375852,0.9146024601603445,0.42544450156950725,0.0706762122147218,0.07923214699329564
0.005,30043,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.8966,0.9143,0.4527,0.12,0.126,0.8983611067246852,0.9146645710345854,0.41991101824361615,0.07148595224709668,0.07623282352174904
0.005,30044,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.8957,0.914,0.4619,0.121,0.1283,0.8975796358636527,0.9144018906786316,0.4311542718942434,0.074450749790362,0.07847186982271426
0.005,30045,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.8924,0.9135,0.4567,0.1173,0.1241,0.8942519418624778,0.9138863462852431,0.4266439576040166,0.06832743410523778,0.0745613021939556
0.005,30046,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.055976666666666675,0.8781833052635193,0.36098000407218933,0.22442999482154846,0.8991,0.9141,0.4587,0.1186,0.1285,0.9008692115092268,0.9144779200699279,0.4259935081606545,0.0713275170257693,0.07986977903356322
0.01,40042,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.06015000000000004,0.873283326625824,0.3617466688156128,0.22576665878295898,0.7488,0.9133,0.3454,0.1206,0.1237,0.7488250801444367,0.9138299258407393,0.2998157930059272,0.07102732160090382,0.07664083192519681
