p,ideal_code_logical_error,naive_qec_logical_error,flagged_ftec_logical_error,flag_trigger_rate,syndrome_trigger_rate,no_trigger_rate,unprotected_accuracy_mean,unprotected_accuracy_std,ideal_code_accuracy_mean,ideal_code_accuracy_std,naive_qec_accuracy_mean,naive_qec_accuracy_std,flagged_ftec_accuracy_mean,flagged_ftec_accuracy_std
0.0,0.0,0.03909399999999996,0.013274000000000008,0.078796,0.099564,0.82164,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.15100000000000002,0.0030174492539229245,0.59206,0.003230015479839091
0.001,9.977795550786261e-06,0.039524000000000004,0.014274000000000009,0.078434,0.104122,0.817444,0.91334,0.0004827007354459084,0.91428,4.472135954999087e-05,0.14836,0.0029577018105279023,0.5416000000000001,0.0037396523902630554
0.002,3.9822506515019285e-05,0.03922800000000004,0.014294000000000029,0.078254,0.108278,0.813468,0.91166,0.00048785243670601737,0.91424,0.00015165750888101431,0.15112,0.0025073890802984685,0.5495,0.0030389142798045365
0.005,0.0002472333185183917,0.040243999999999946,0.016382000000000008,0.077694,0.121906,0.8004,0.89742,0.0010377861051295522,0.9141,0.0006324555320336589,0.14734000000000003,0.003868203717489551,0.45526,0.002214271889357763
0.01,0.000977955081481463,0.04208599999999996,0.019847999999999977,0.076352,0.141628,0.78202,0.7474,0.0045645372164108714,0.9129799999999999,0.0005215361924162482,0.14188,0.002888252066562058,0.35204,0.0022788154817799584
0.02,0.0038250514962961946,0.04642000000000002,0.027324000000000015,0.075062,0.18292,0.742018,0.34426,0.004938420800215387,0.90642,0.0009176055797563817,0.1378,0.002665520587052375,0.22332000000000002,0.0028865203966021084
0.05,0.022331851851851825,0.07031600000000005,0.056772000000000045,0.069608,0.29284,0.637552,0.13188,0.0027389779115575253,0.29188000000000003,0.002903790626061048,0.12036,0.0025967287112827163,0.12512,0.003160221511223548
