p_data,p_cnot,p_measurement,p_recovery,effective_unprotected_p,effective_qec1_p,effective_qec3_p,unprotected_accuracy_mean,unprotected_accuracy_std,qec1_accuracy_mean,qec1_accuracy_std,qec3_accuracy_mean,qec3_accuracy_std
0.0,0.005,0.01,0.005,0.0,0.005105999764055014,0.006149999797344208,0.9143000000000001,1.2412670766236366e-16,0.88404,0.001460479373356591,0.85908,0.0013917614738165396
0.001,0.005,0.01,0.005,0.001,0.005336000118404627,0.00620400020852685,0.9129399999999999,0.0002880972058177828,0.8819000000000001,0.0030124740662784057,0.85822,0.0017711578134090868
0.002,0.005,0.01,0.005,0.002,0.005437999963760376,0.0061980001628398895,0.9106400000000001,0.0011760102040373566,0.88038,0.002197043467935917,0.8564999999999999,0.002290196498119768
0.005,0.005,0.01,0.005,0.005,0.005528000183403492,0.006444000173360109,0.8887,0.00040620192023180793,0.8745,0.0014212670403551775,0.8513200000000001,0.0017079227148791138
0.01,0.005,0.01,0.005,0.01,0.00609799986705184,0.006920000072568655,0.70746,0.0023458473948660776,0.8625400000000001,0.0012739701723352866,0.8411799999999999,0.00240249869927123
0.02,0.005,0.01,0.005,0.02,0.0076299998909235,0.007887999527156353,0.37566,0.0025045957757690272,0.8117199999999999,0.002104043725781399,0.79636,0.0023543576618687183
0.05,0.005,0.01,0.005,0.05,0.015503999777138233,0.014613999985158443,0.19746000000000002,0.004090598978144885,0.49871999999999994,0.004861789793892786,0.5107799999999999,0.006279888534042638
