p,history_base_pL,unprotected_accuracy_mean,unprotected_accuracy_std,uniform_history_accuracy_mean,uniform_history_accuracy_std,gate_aware_ft_accuracy_mean,gate_aware_ft_accuracy_std
0.0,0.05371999999999999,0.9143000000000001,1.2412670766236366e-16,0.1263,0.004439031425885605,0.11678,0.0038771123274932355
0.001,0.053776666666666695,0.9132199999999999,0.0004266145801540385,0.12844,0.003163542318351378,0.11612,0.0018873261509341703
0.002,0.05406,0.9114800000000001,0.0007085195833567429,0.12572,0.0020486580973896073,0.11648,0.0020364184245876362
0.005,0.055976666666666675,0.89588,0.0024035390573069644,0.12398,0.002997832550360345,0.11848,0.0018886503117305736
0.01,0.06015000000000004,0.74832,0.0019070920271449835,0.12078,0.002473256961983533,0.11772,0.0013645512082732544
0.02,0.0660533333333333,0.3419,0.0038039453203220367,0.12005999999999999,0.0032928710876680193,0.11680000000000001,0.0028853076092507026
0.05,0.09606999999999999,0.12988,0.0016619265928433798,0.11874,0.0032661904414776556,0.11679999999999999,0.0012267844146385265
