p,base_logical_error,unprotected_accuracy_mean,unprotected_accuracy_std,uniform_accuracy_mean,uniform_accuracy_std,final_ft_accuracy_mean,final_ft_accuracy_std,unprotected_f1_mean,unprotected_f1_std,uniform_f1_mean,uniform_f1_std,final_ft_f1_mean,final_ft_f1_std,final_ft_gain_vs_unprotected,final_ft_penalty_vs_uniform,final_ft_accuracy_retention,unprotected_meets_77,final_ft_meets_77
0.0,0.013273999999999897,0.9143000000000001,1.2412670766236366e-16,0.58904,0.0038997435813140214,0.23522000000000004,0.0016783920876839201,0.9146426842076639,0.0,0.5746995243554824,0.005049777678318937,0.18274418881303575,0.0017122293933075831,-0.6790800000000001,-0.35381999999999997,0.2572678551897627,1,0
0.001,0.014274000000000009,0.9132199999999999,0.0004266145801540385,0.5433600000000001,0.0018875910574062478,0.21076,0.0025224987611493477,0.9137220146688604,0.00041021681006674174,0.5241791413071448,0.0016344477619137212,0.15794384803758715,0.0019648298745203402,-0.7024599999999999,-0.33260000000000006,0.23051514820080937,1,0
0.002,0.014294000000000029,0.9114800000000001,0.0007085195833567429,0.5409599999999999,0.0035613199800074,0.20868000000000003,0.0026743223440714842,0.9121828081290173,0.0007209315909920714,0.5202587366976881,0.004248818774649793,0.15606615507647695,0.0030263013316895776,-0.7028000000000001,-0.33227999999999985,0.22824018374712898,1,0
0.005,0.016382000000000008,0.89588,0.0024035390573069644,0.45354,0.003562723677188564,0.18019999999999997,0.0027267196408872017,0.8976644886195256,0.002375466778564792,0.4208283356002737,0.003671061171043633,0.12874330657676797,0.0019186351303310952,-0.7156800000000001,-0.27334,0.19709067045827405,1,0
0.01,0.019847999999999977,0.74832,0.0019070920271449835,0.34776,0.004694997337592426,0.1506,0.0031320919526731635,0.7480861392011541,0.002601746832986795,0.2987775660595697,0.005610911811957582,0.10020378874641231,0.003759098909080752,-0.59772,-0.19716,0.16471617630974517,0,0
0.02,0.027324000000000015,0.3419,0.0038039453203220367,0.21903999999999998,0.003476780119593414,0.12591999999999998,0.0030792856314411595,0.29575202523591526,0.004637632025953614,0.16588213806342228,0.0019213801956601195,0.07745678776750702,0.0027314126086574104,-0.21598,-0.09312000000000001,0.13772284808049873,0,0
0.05,0.056772000000000045,0.12988,0.0016619265928433798,0.12401999999999999,0.0019766132651583643,0.11808,0.0031618032829383927,0.08126788039901892,0.002198406835589922,0.07589634650042891,0.0016153231802041922,0.06964613775116872,0.0027379491963762433,-0.011799999999999991,-0.005939999999999987,0.12914798206278028,0,0
