p,ideal_logical_error,previous_flagged_logical_error,majority3_logical_error,last3_logical_error,history3_logical_error,history_coset_prediction_accuracy,three_round_flag_cycle_rate,temporal_syndrome_change_rate
0.0,0.0,0.013273999999999897,0.07679666666666662,0.0935933333333333,0.05371999999999999,0.8796233534812927,0.22508665919303894,0.36190667748451233
0.001,9.977795550786261e-06,0.014274000000000009,0.07681666666666664,0.09383333333333332,0.053776666666666695,0.8796966671943665,0.22437000274658203,0.36088332533836365
0.002,3.9822506515019285e-05,0.014294000000000029,0.07730999999999999,0.09463333333333335,0.05406,0.8784633278846741,0.2241266667842865,0.360483318567276
0.005,0.0002472333185183917,0.016382000000000008,0.07753333333333334,0.09541333333333335,0.055976666666666675,0.8781833052635193,0.22442999482154846,0.36098000407218933
0.01,0.000977955081481463,0.019847999999999977,0.08131333333333335,0.10139333333333334,0.06015000000000004,0.873283326625824,0.22576665878295898,0.3617466688156128
0.02,0.0038250514962961946,0.027324000000000015,0.08642666666666665,0.10797999999999996,0.0660533333333333,0.8673466444015503,0.22393333911895752,0.36143332719802856
0.05,0.022331851851851825,0.056772000000000045,0.11082999999999998,0.14091333333333333,0.09606999999999999,0.8387666940689087,0.2241833359003067,0.36078333854675293
