physical_bitflip_probability,accuracy,macro_f1,trajectories,evaluation_seconds
0.0,0.9143,0.9146426842076639,1,0.25755906105041504
0.001,0.9129,0.9133852880312208,32,0.6330685615539551
0.002,0.9114,0.9121655679060536,32,0.6280472278594971
0.005,0.8882,0.89013249574596,32,0.6812233924865723
0.01,0.7001,0.6871474953541672,32,0.6277799606323242
0.02,0.3787,0.32112419823272625,32,0.6268801689147949
0.05,0.1979,0.1327893228815425,32,0.6268148422241211
