epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.9065036912706164,0.6826847148895263,0.8523333333333334,0.9386
2,0.7088926742447748,0.6486723078727722,0.9397111111111112,0.9436
3,0.661278704155816,0.645098616027832,0.9591333333333333,0.947
4,0.6325650119357639,0.6377301219940186,0.9705777777777778,0.947
5,0.6109607186105516,0.6098766097068786,0.9790888888888889,0.9582
6,0.5976286509407891,0.622816799736023,0.9838,0.9554
7,0.5822598775969611,0.6088637289047241,0.9896888888888888,0.9614
8,0.5748201472176446,0.6015652424812317,0.9916666666666667,0.9612
9,0.5671821681128608,0.5988519150733947,0.9948666666666667,0.9632
10,0.5614112972365485,0.5910954452514648,0.9969333333333333,0.9658
11,0.5573814887682597,0.5884629721641541,0.9979777777777777,0.9668
12,0.5551031951692369,0.5876524611473084,0.9981555555555556,0.9634
13,0.5533926147354974,0.590317412853241,0.9988222222222222,0.9642
14,0.5530298368348016,0.5871214447975158,0.9991777777777778,0.9652
15,0.5519814677980212,0.5858005912780762,0.9991111111111111,0.9666
