p,ideal_code_logical_error,qec1_logical_error,qec3_logical_error,unprotected_accuracy_mean,unprotected_accuracy_std,ideal_code_accuracy_mean,ideal_code_accuracy_std,qec1_accuracy_mean,qec1_accuracy_std,qec3_accuracy_mean,qec3_accuracy_std
0.0,0.0,0.03906399999999999,0.06973799999999997,0.9143000000000001,1.2412670766236366e-16,0.9143000000000001,1.2412670766236366e-16,0.15089999999999998,0.002302172886644271,0.12246000000000001,0.0020947553556441814
0.001,9.977795550786261e-06,0.038868000000000014,0.06972199999999995,0.91334,0.0004827007354459084,0.91428,4.472135954999087e-05,0.14937999999999999,0.002340299126180248,0.11823999999999998,0.003141337294847528
0.002,3.9822506515019285e-05,0.039358000000000004,0.07037800000000005,0.91166,0.00048785243670601737,0.91424,0.00015165750888101431,0.15230000000000002,0.003004163777159965,0.11914,0.0019295077092357003
0.005,0.0002472333185183917,0.04017599999999999,0.07082,0.89742,0.0010377861051295522,0.9141,0.0006324555320336589,0.14806,0.004306158380737989,0.12112,0.001636154026979123
0.01,0.000977955081481463,0.04256199999999999,0.07284999999999997,0.7474,0.0045645372164108714,0.9129799999999999,0.0005215361924162482,0.14002,0.0023552069972722165,0.11926,0.0034092521174005274
0.02,0.0038250514962961946,0.047023999999999955,0.07806599999999997,0.34426,0.004938420800215387,0.90642,0.0009176055797563817,0.13430000000000003,0.0036592348927064018,0.11661999999999999,0.0018660117898877285
0.05,0.022331851851851825,0.07011,0.10073600000000005,0.13188,0.0027389779115575253,0.29188000000000003,0.002903790626061048,0.11956,0.0028201063809721785,0.11939999999999999,0.002712931993250108
